name,level,valid_from,valid_to,issued
Estonia,1,2022-05-01,,2022-04-19
Eswatini,1,2018-06-01,2020-08-01,2018-01-10
Eswatini,4,2020-09-01,2020-09-01,2020-08-06
Eswatini,3,2020-10-01,2021-06-01,2020-09-28
Eswatini,1,2021-07-01,2021-07-01,2021-06-16
Eswatini,3,2021-08-01,2021-08-01,2021-07-30
Eswatini,4,2021-09-01,2021-10-01,2021-08-09
Eswatini,3,2021-11-01,2021-11-01,2021-10-18
Eswatini,4,2021-12-01,2022-03-01,2021-11-27
Eswatini,3,2022-04-01,2022-04-01,2022-03-03
Eswatini,2,2022-05-01,2025-08-01,2022-04-18
Eswatini (Swaziland),2,2025-09-01,,2024-07-01
Ethiopia,2,2018-03-01,2020-08-01,2018-02-16
Ethiopia,3,2020-09-01,2021-04-01,2020-08-31
Ethiopia,4,2021-05-01,2021-06-01,2021-04-21
Ethiopia,2,2021-07-01,2021-09-01,2021-06-28
Ethiopia,3,2021-10-01,2021-11-01,2021-09-16
Ethiopia,4,2021-12-01,2022-04-01,2021-11-06
Ethiopia,3,2022-05-01,,2022-04-22
Falkland Islands,2,2025-09-01,2026-04-01,2025-06-10
Falkland Islands,1,2026-05-01,,2025-05-08
Federated States of Micronesia,1,2025-02-01,,2025-01-22
Fiji,1,2018-03-01,2020-08-01,2018-01-10
Fiji,2,2020-09-01,2021-04-01,2020-08-06
Fiji,3,2021-05-01,2021-05-01,2021-04-22
Fiji,4,2021-06-01,2021-11-01,2021-05-17
Fiji,3,2021-12-01,2021-12-01,2021-11-02
Fiji,1,2022-01-01,2022-01-01,2021-12-20
Fiji,4,2022-02-01,2022-03-01,2022-01-24
Fiji,3,2022-04-01,2022-04-01,2022-03-07
Fiji,1,2022-05-01,,2022-04-18
Finland,1,2018-03-01,2020-08-01,2018-01-10
Finland,3,2020-09-01,2021-04-01,2020-08-06
Finland,4,2021-05-01,2021-06-01,2021-04-21
Finland,2,2021-07-01,2021-08-01,2021-06-16
Finland,3,2021-09-01,2021-12-01,2021-08-02
Finland,4,2022-01-01,2022-04-01,2021-12-20
Finland,1,2022-05-01,,2022-04-19
France,2,2018-07-01,2020-08-01,2018-01-10
France,3,2020-09-01,2021-04-01,2020-08-06
France,4,2021-05-01,2021-06-01,2021-04-20
France,3,2021-07-01,2021-08-01,2021-06-16
France,4,2021-09-01,2021-10-01,2021-08-09
France,3,2021-11-01,2021-12-01,2021-10-04
France,4,2022-01-01,2022-04-01,2021-12-06
France,2,2022-05-01,,2022-04-19
France (includes Monaco),2,2025-09-01,2026-03-01,2025-05-28
France *Monaco,2,2018-03-01,2018-06-01,2018-01-10
French Guiana,1,2018-03-01,2020-08-01,2018-01-10
French Guiana,4,2020-09-01,2022-04-01,2020-08-06
French Guiana,1,2022-05-01,,2022-04-19
French Polynesia,1,2018-03-01,2020-08-01,2018-01-10
French Polynesia,3,2020-09-01,2021-06-01,2020-08-31
French Polynesia,1,2021-07-01,2021-08-01,2021-06-16
French Polynesia,4,2021-09-01,2021-11-01,2021-08-09
French Polynesia,3,2021-12-01,2021-12-01,2021-11-30
French Polynesia,4,2022-01-01,2022-01-01,2021-12-28
French Polynesia,3,2022-02-01,2022-02-01,2022-01-31
French Polynesia,4,2022-03-01,2022-04-01,2022-02-14
French Polynesia,1,2022-05-01,,2022-04-18
French West Indies,1,2018-03-01,2020-08-01,2018-01-10
French West Indies,3,2020-09-01,2020-12-01,2020-08-06
French West Indies,4,2021-01-01,2021-06-01,2020-12-21
French West Indies,3,2021-07-01,2021-08-01,2021-06-16
French West Indies,4,2021-09-01,2021-10-01,2021-08-02
French West Indies,3,2021-11-01,2022-01-01,2021-10-25
French West Indies,4,2022-02-01,2022-04-01,2022-01-24
French West Indies,1,2022-05-01,,2022-04-18
Gabon,1,2018-03-01,2020-08-01,2018-01-10
Gabon,3,2020-09-01,2021-04-01,2020-08-06
Gabon,4,2021-05-01,2021-06-01,2021-04-21
Gabon,2,2021-07-01,2021-07-01,2021-06-16
Gabon,1,2021-08-01,2021-09-01,2021-07-12
Gabon,2,2021-10-01,2021-10-01,2021-09-27
Gabon,3,2021-11-01,2022-03-01,2021-10-12
Gabon,2,2022-04-01,2022-04-01,2022-03-21
Gabon,1,2022-05-01,2023-09-01,2022-04-18
Gabon,2,2023-10-01,,2023-09-28
Gaza,4,2025-09-01,2026-02-01,2025-01-17
Georgia,1,2018-03-01,2020-08-01,2018-01-10
Georgia,3,2020-09-01,2020-12-01,2020-08-06
Georgia,4,2021-01-01,2022-04-01,2020-12-14
Georgia,1,2022-05-01,,2022-04-19
Germany,2,2018-03-01,2020-08-01,2018-01-10
Germany,3,2020-09-01,2021-04-01,2020-08-06
Germany,4,2021-05-01,2021-06-01,2021-04-20
Germany,3,2021-07-01,2021-07-01,2021-06-17
Germany,2,2021-08-01,2021-08-01,2021-07-12
Germany,3,2021-09-01,2021-11-01,2021-08-30
Germany,4,2021-12-01,2022-04-01,2021-11-22
Germany,2,2022-05-01,,2022-04-19
Ghana,1,2018-03-01,2020-08-01,2018-01-10
Ghana,3,2020-09-01,2021-05-01,2020-08-06
Ghana,2,2021-06-01,2021-06-01,2021-05-17
Ghana,1,2021-07-01,2021-08-01,2021-06-17
Ghana,2,2021-09-01,2021-09-01,2021-08-09
Ghana,3,2021-10-01,2021-10-01,2021-09-29
Ghana,2,2021-11-01,2022-01-01,2021-10-18
Ghana,3,2022-02-01,2022-02-01,2022-01-18
Ghana,2,2022-03-01,,2022-02-28
Gibraltar,2,2025-09-01,,2025-06-10
Greece,1,2018-03-01,2020-08-01,2018-01-10
Greece,3,2020-09-01,2021-04-01,2020-08-06
Greece,4,2021-05-01,2021-06-01,2021-04-20
Greece,3,2021-07-01,2021-08-01,2021-06-16
Greece,4,2021-09-01,2022-04-01,2021-08-02
Greece,1,2022-05-01,,2022-04-19
Greenland,2,2024-11-01,,2024-10-29
Grenada,1,2018-03-01,2020-08-01,2018-01-10
Grenada,2,2020-09-01,2021-01-01,2020-08-31
Grenada,3,2021-02-01,2021-02-01,2021-01-12
Grenada,2,2021-03-01,2021-07-01,2021-02-22
Grenada,1,2021-08-01,2021-09-01,2021-07-12
Grenada,4,2021-10-01,2021-12-01,2021-09-13
Grenada,2,2022-01-01,2022-01-01,2021-12-20
Grenada,4,2022-02-01,2022-04-01,2022-01-18
Grenada,1,2022-05-01,2026-01-01,2022-04-19
Grenada,2,2026-02-01,,2026-01-05
Guadeloupe (French West Indies),1,2025-09-01,,2024-08-22
"Guadeloupe, Martinique, Saint Martin, and Saint Barthélemy (French West Indies)",1,2025-09-01,,2024-08-22
Guatemala,3,2018-03-01,2018-07-01,2018-01-10
Guatemala,2,2018-08-01,2020-08-01,2018-07-27
Guatemala,4,2020-09-01,2020-09-01,2020-08-06
Guatemala,3,2020-10-01,2021-04-01,2020-09-28
Guatemala,4,2021-05-01,2021-06-01,2021-04-20
Guatemala,3,2021-07-01,2021-09-01,2021-06-16
Guatemala,4,2021-10-01,2021-10-01,2021-09-13
Guatemala,3,2021-11-01,,2021-10-25
Guinea,2,2018-03-01,2020-08-01,2018-02-16
Guinea,3,2020-09-01,2021-04-01,2020-08-06
Guinea,4,2021-05-01,2021-06-01,2021-04-20
Guinea,2,2021-07-01,2022-01-01,2021-06-28
Guinea,3,2022-02-01,2022-03-01,2022-01-31
Guinea,2,2022-04-01,2023-12-01,2022-03-28
Guinea,3,2024-01-01,2024-12-01,2023-12-26
Guinea,2,2025-01-01,,2024-12-12
Guinea-Bissau,3,2018-03-01,2021-04-01,2018-01-10
Guinea-Bissau,4,2021-05-01,2021-09-01,2021-04-20
Guinea-Bissau,3,2021-10-01,,2021-09-07
Guyana,2,2018-03-01,2020-08-01,2018-01-10
Guyana,4,2020-09-01,2020-11-01,2020-08-06
Guyana,3,2020-12-01,2021-04-01,2020-11-23
Guyana,4,2021-05-01,2021-06-01,2021-04-20
Guyana,3,2021-07-01,2021-09-01,2021-06-16
Guyana,4,2021-10-01,2021-11-01,2021-09-21
Guyana,3,2021-12-01,2022-01-01,2021-11-30
Guyana,4,2022-02-01,2022-03-01,2022-01-18
Guyana,3,2022-04-01,,2022-03-22
Haiti,3,2018-03-01,2019-02-01,2018-01-10
Haiti,4,2019-03-01,2019-06-01,2019-02-14
Haiti,3,2019-07-01,2020-03-01,2019-06-11
Haiti,4,2020-04-01,,2020-03-05
Honduras,3,2018-04-01,2020-08-01,2018-01-10
Honduras,4,2020-09-01,2020-10-01,2020-08-06
Honduras,3,2020-11-01,2021-04-01,2020-10-13
Honduras,4,2021-05-01,2021-06-01,2021-04-20
Honduras,3,2021-07-01,,2021-06-16
Hong Kong,1,2018-03-01,2019-08-01,2018-01-10
Hong Kong,2,2019-09-01,2020-09-01,2019-08-14
Hong Kong,3,2020-10-01,2022-03-01,2020-09-14
Hong Kong,4,2022-04-01,2022-08-01,2022-03-07
Hong Kong,3,2022-09-01,2023-06-01,2022-08-30
Hong Kong,2,2023-07-01,,2023-06-30
Houduras,3,2018-03-01,2018-03-01,2018-01-10
Hungary,1,2018-03-01,2020-08-01,2018-01-10
Hungary,3,2020-09-01,2021-04-01,2020-08-06
Hungary,4,2021-05-01,2021-06-01,2021-04-20
Hungary,3,2021-07-01,2021-09-01,2021-06-16
Hungary,2,2021-10-01,2021-10-01,2021-09-27
Hungary,3,2021-11-01,2021-11-01,2021-10-18
Hungary,4,2021-12-01,2022-04-01,2021-11-15
Hungary,1,2022-05-01,,2022-04-19
Iceland,1,2018-03-01,2020-08-01,2018-01-10
Iceland,3,2020-09-01,2021-08-01,2020-08-06
Iceland,4,2021-09-01,2021-10-01,2021-08-09
Iceland,3,2021-11-01,2021-11-01,2021-10-04
Iceland,4,2021-12-01,2022-04-01,2021-11-15
Iceland,1,2022-05-01,,2022-04-19
India,2,2018-03-01,2020-08-01,2018-01-10
India,4,2020-09-01,2021-02-01,2020-08-06
India,2,2021-03-01,2021-04-01,2021-02-16
India,4,2021-05-01,2021-07-01,2021-04-28
India,3,2021-08-01,2021-08-01,2021-07-19
India,2,2021-09-01,2022-01-01,2021-08-16
India,3,2022-02-01,2022-03-01,2022-01-24
India,2,2022-04-01,,2022-03-28
Indonesia,2,2018-03-01,2020-03-01,2018-01-10
Indonesia,4,2020-04-01,2020-11-01,2020-03-26
Indonesia,3,2020-12-01,2021-01-01,2020-11-23
Indonesia,4,2021-02-01,2021-06-01,2021-01-12
Indonesia,3,2021-07-01,2021-07-01,2021-06-16
Indonesia,4,2021-08-01,2021-08-01,2021-07-19
Indonesia,3,2021-09-01,2022-01-01,2021-08-30
Indonesia,4,2022-02-01,2022-04-01,2022-01-25
Indonesia,2,2022-05-01,,2022-05-02
Iran,4,2018-03-01,,2018-01-10
Iraq,4,2018-03-01,,2018-01-10
Ireland,1,2018-03-01,2020-08-01,2018-01-10
Ireland,3,2020-09-01,2021-04-01,2020-08-06
Ireland,4,2021-05-01,2021-06-01,2021-04-21
Ireland,3,2021-07-01,2021-08-01,2021-06-21
Ireland,4,2021-09-01,2022-04-01,2021-08-02
Ireland,1,2022-05-01,,2022-04-19
Isle of Man,2,2025-09-01,,2025-06-10
Israel,3,2025-09-01,2026-02-01,2025-01-17
"Israel, The West Bank and Gaza",2,2018-07-01,2020-03-01,2018-01-10
"Israel, The West Bank and Gaza",3,2020-04-01,2021-06-01,2020-03-27
"Israel, The West Bank and Gaza",2,2021-07-01,2021-07-01,2021-06-17
"Israel, The West Bank and Gaza",3,2021-08-01,2021-08-01,2021-07-26
"Israel, The West Bank and Gaza",4,2021-09-01,2021-11-01,2021-08-10
"Israel, The West Bank and Gaza",3,2021-12-01,2022-01-01,2021-11-22
"Israel, The West Bank and Gaza",4,2022-02-01,2022-04-01,2022-01-18
"Israel, The West Bank and Gaza",2,2022-05-01,2022-10-01,2022-05-02
"Israel, The West Bank and Gaza",3,2025-09-01,,2025-07-01
"Israel, The West Bank, and Gaza",2,2018-03-01,2018-06-01,2018-01-10
Italy,2,2018-03-01,2020-02-01,2018-01-10
Italy,3,2020-03-01,2021-04-01,2020-02-29
Italy,4,2021-05-01,2021-06-01,2021-04-20
Italy,3,2021-07-01,2021-12-01,2021-06-16
Italy,4,2022-01-01,2022-04-01,2021-12-13
Italy,2,2022-05-01,,2022-04-25
Jamaica,2,2018-03-01,2020-08-01,2018-01-10
Jamaica,3,2020-09-01,2021-04-01,2020-08-06
Jamaica,4,2021-05-01,2021-06-01,2021-04-20
Jamaica,3,2021-07-01,2021-09-01,2021-06-28
Jamaica,4,2021-10-01,2021-11-01,2021-09-07
Jamaica,3,2021-12-01,2021-12-01,2021-11-02
Jamaica,2,2022-01-01,2022-01-01,2021-12-13
Jamaica,4,2022-02-01,2022-03-01,2022-01-24
Jamaica,3,2022-04-01,2025-05-01,2022-03-28
Jamaica,2,2025-06-01,2025-10-01,2025-05-29
Jamaica,3,2025-11-01,2026-01-01,2025-10-28
Jamaica,2,2026-02-01,,2026-01-17
Japan,1,2018-03-01,2020-02-01,2018-01-10
Japan,2,2020-03-01,2020-08-01,2020-02-22
Japan,3,2020-09-01,2021-05-01,2020-08-06
Japan,4,2021-06-01,2021-06-01,2021-05-24
Japan,3,2021-07-01,2022-02-01,2021-06-16
Japan,4,2022-03-01,2022-04-01,2022-02-07
Japan,3,2022-05-01,2022-10-01,2022-04-18
Japan,1,2022-11-01,,2022-10-11
Jerusalem,3,2025-09-01,,2025-01-17
Jordan,2,2018-03-01,2020-08-01,2018-01-10
Jordan,3,2020-09-01,2021-04-01,2020-08-06
Jordan,4,2021-05-01,2021-06-01,2021-04-21
Jordan,3,2021-07-01,2021-12-01,2021-06-16
Jordan,4,2022-01-01,2022-04-01,2021-12-06
Jordan,2,2022-05-01,2026-03-01,2022-04-18
Jordan,3,2026-04-01,2026-05-01,2026-03-02
Jordan,2,2026-06-01,,2026-05-04
Kazakhstan,1,2018-03-01,2020-08-01,2018-01-10
Kazakhstan,4,2020-09-01,2020-10-01,2020-08-06
Kazakhstan,3,2020-11-01,2021-04-01,2020-10-05
Kazakhstan,4,2021-05-01,2021-06-01,2021-04-21
Kazakhstan,3,2021-07-01,2021-08-01,2021-06-16
Kazakhstan,4,2021-09-01,2022-04-01,2021-08-02
Kazakhstan,2,2022-05-01,2023-06-01,2022-04-20
Kazakhstan,1,2023-07-01,,2023-06-30
Kenya,2,2018-03-01,2019-02-01,2018-01-10
Kenya,1,2019-03-01,2019-03-01,2018-03-29
Kenya,2,2019-04-01,2020-08-01,2019-03-27
Kenya,3,2020-09-01,2021-04-01,2020-08-06
Kenya,4,2021-05-01,2021-06-01,2021-04-20
Kenya,2,2021-07-01,2021-08-01,2021-06-16
Kenya,3,2021-09-01,2021-10-01,2021-08-09
Kenya,2,2021-11-01,2022-01-01,2021-10-18
Kenya,3,2022-02-01,2022-02-01,2022-01-04
Kenya,2,2022-03-01,,2022-02-22
Kiribati,1,2018-03-01,2020-08-01,2018-01-10
Kiribati,3,2020-09-01,2021-04-01,2020-08-06
Kiribati,4,2021-05-01,2022-04-01,2021-04-20
Kiribati,3,2022-05-01,2023-08-01,2022-04-18
Kiribati,1,2023-09-01,,2023-08-09
Kosovo,2,2018-03-01,2020-08-01,2018-02-27
Kosovo,4,2020-09-01,2020-10-01,2020-08-06
Kosovo,3,2020-11-01,2020-12-01,2020-10-14
Kosovo,4,2021-01-01,2021-06-01,2020-12-14
Kosovo,3,2021-07-01,2021-07-01,2021-06-17
Kosovo,2,2021-08-01,2021-08-01,2021-07-26
Kosovo,4,2021-09-01,2021-11-01,2021-08-23
Kosovo,3,2021-12-01,2022-01-01,2021-11-22
Kosovo,4,2022-02-01,2022-03-01,2022-01-31
Kosovo,3,2022-04-01,2022-05-01,2022-03-28
Kosovo,2,2022-06-01,,2022-05-10
Kuwait,1,2018-03-01,2020-08-01,2018-01-10
Kuwait,3,2020-09-01,2021-04-01,2020-08-06
Kuwait,4,2021-05-01,2021-09-01,2021-04-21
Kuwait,3,2021-10-01,2021-10-01,2021-09-21
Kuwait,1,2021-11-01,2022-01-01,2021-10-25
Kuwait,4,2022-02-01,2022-04-01,2022-01-24
Kuwait,1,2022-05-01,2026-03-01,2022-04-20
Kuwait,3,2026-04-01,,2026-03-02
Kyrgyzstan,1,2018-03-01,2018-06-01,2018-01-10
Kyrgyzstan,1,2025-09-01,2026-06-01,2025-04-21
Laos,1,2018-03-01,2020-08-01,2018-01-10
Laos,3,2020-09-01,2020-11-01,2020-08-06
Laos,2,2020-12-01,2021-04-01,2020-11-23
Laos,4,2021-05-01,2021-06-01,2021-04-22
Laos,3,2021-07-01,2021-08-01,2021-06-16
Laos,4,2021-09-01,2021-11-01,2021-08-30
Laos,3,2021-12-01,2022-07-01,2021-11-02
Laos,2,2022-08-01,,2022-07-25
Latvia,1,2018-03-01,2020-08-01,2018-01-10
Latvia,3,2020-09-01,2021-04-01,2020-08-06
Latvia,4,2021-05-01,2021-07-01,2021-04-20
Latvia,3,2021-08-01,2021-10-01,2021-06-17
Latvia,4,2021-11-01,2022-04-01,2021-10-04
Latvia,1,2022-05-01,,2022-04-19
Lebanon,3,2018-03-01,2021-04-01,2018-01-10
Lebanon,4,2021-05-01,2021-06-01,2021-04-21
Lebanon,3,2021-07-01,2021-08-01,2021-06-16
Lebanon,4,2021-09-01,2022-04-01,2021-08-23
Lebanon,3,2022-05-01,2023-10-01,2022-04-18
Lebanon,4,2023-11-01,2024-01-01,2023-10-17
Lebanon,3,2024-02-01,2024-07-01,2024-01-29
Lebanon,4,2024-08-01,,2024-07-31
Lesotho,1,2018-03-01,2020-08-01,2018-01-10
Lesotho,3,2020-09-01,2021-04-01,2020-08-06
Lesotho,4,2021-05-01,2021-06-01,2021-04-20
Lesotho,3,2021-07-01,2021-08-01,2021-06-16
Lesotho,4,2021-09-01,2021-10-01,2021-08-02
Lesotho,3,2021-11-01,2021-11-01,2021-10-04
Lesotho,4,2021-12-01,2022-01-01,2021-11-27
Lesotho,3,2022-02-01,2022-02-01,2022-01-10
Lesotho,2,2022-03-01,2022-03-01,2022-02-28
Lesotho,1,2022-04-01,2024-09-01,2022-03-07
Lesotho,2,2024-10-01,,2024-09-17
Liberia,1,2018-03-01,2020-08-01,2018-01-10
Liberia,3,2020-09-01,2021-04-01,2020-08-31
Liberia,2,2021-05-01,2021-06-01,2021-04-21
Liberia,4,2021-07-01,2021-08-01,2021-06-28
Liberia,3,2021-09-01,2021-11-01,2021-08-02
Liberia,2,2021-12-01,2022-01-01,2021-11-15
Liberia,3,2022-02-01,2022-02-01,2022-01-31
Liberia,2,2022-03-01,,2022-02-28
Libya,4,2018-03-01,,2018-01-10
Liechtenstein,1,2019-11-01,2020-08-01,2019-10-08
Liechtenstein,3,2020-09-01,2021-04-01,2020-08-06
Liechtenstein,4,2021-05-01,2021-06-01,2021-04-21
Liechtenstein,2,2021-07-01,2021-07-01,2021-06-17
Liechtenstein,1,2021-08-01,2021-08-01,2021-07-06
Liechtenstein,3,2021-09-01,2021-12-01,2021-08-23
Liechtenstein,4,2022-01-01,2022-04-01,2021-12-06
Liechtenstein,1,2022-05-01,,2022-04-19
Liechtenstien,1,2019-10-01,2019-10-01,2019-10-08
Lithuania,1,2018-03-01,2020-08-01,2018-01-10
Lithuania,3,2020-09-01,2021-04-01,2020-08-06
Lithuania,4,2021-05-01,2021-07-01,2021-04-20
Lithuania,3,2021-08-01,2021-09-01,2021-07-12
Lithuania,4,2021-10-01,2022-04-01,2021-09-13
Lithuania,1,2022-05-01,,2022-04-18
Luxembourg,1,2018-03-01,2020-08-01,2018-01-10
Luxembourg,3,2020-09-01,2021-04-01,2020-08-06
Luxembourg,4,2021-05-01,2021-06-01,2021-04-20
Luxembourg,3,2021-07-01,2021-11-01,2021-06-17
Luxembourg,4,2021-12-01,2022-04-01,2021-11-08
Luxembourg,1,2022-05-01,,2022-04-25
Macau,1,2018-03-01,2020-01-01,2018-01-10
Macau,2,2020-02-01,2020-08-01,2020-01-31
Macau,1,2020-09-01,2021-04-01,2020-08-06
Macau,4,2021-05-01,2022-04-01,2021-04-21
Macau,3,2022-05-01,2025-08-01,2022-04-18
Macau,2,2025-09-01,,2024-11-27
Macedonia,1,2018-03-01,2019-02-01,2018-01-10
Madagascar,1,2018-03-01,2018-07-01,2018-01-10
Madagascar,2,2018-08-01,2020-08-01,2018-07-31
Madagascar,3,2020-09-01,2021-04-01,2020-08-06
Madagascar,4,2021-05-01,2021-09-01,2021-04-20
Madagascar,3,2021-10-01,2021-11-01,2021-09-07
Madagascar,4,2021-12-01,2022-01-01,2021-11-08
Madagascar,3,2022-02-01,2022-04-01,2022-01-18
Madagascar,2,2022-05-01,2025-09-01,2022-04-18
Madagascar,3,2025-10-01,2025-12-01,2025-09-27
Madagascar,2,2026-01-01,,2025-12-04
Malawi,1,2018-03-01,2019-08-01,2018-01-10
Malawi,2,2019-09-01,2020-08-01,2019-08-22
Malawi,4,2020-09-01,2020-10-01,2020-08-06
Malawi,3,2020-11-01,2021-06-01,2020-11-02
Malawi,1,2021-07-01,2021-07-01,2021-06-16
Malawi,4,2021-08-01,2021-08-01,2021-07-06
Malawi,3,2021-09-01,2021-11-01,2021-08-09
Malawi,4,2021-12-01,2022-01-01,2021-11-27
Malawi,3,2022-02-01,2022-03-01,2022-01-18
Malawi,2,2022-04-01,2022-04-01,2022-03-28
Malawi,1,2022-05-01,2022-06-01,2022-04-18
Malawi,2,2022-07-01,,2022-06-10
Malaysia,1,2018-03-01,2020-08-01,2018-01-10
Malaysia,3,2020-09-01,2021-04-01,2020-08-17
Malaysia,4,2021-05-01,2021-12-01,2021-04-20
Malaysia,3,2022-01-01,2022-02-01,2021-12-13
Malaysia,4,2022-03-01,2022-04-01,2022-02-22
Malaysia,1,2022-05-01,,2022-04-18
Maldives,2,2018-03-01,2020-08-01,2018-02-06
Maldives,3,2020-09-01,2021-04-01,2020-08-06
Maldives,4,2021-05-01,2022-04-01,2021-04-21
Maldives,2,2022-05-01,,2022-04-18
Mali,4,2018-03-01,,2018-01-10
Malta,1,2018-03-01,2020-08-01,2018-01-10
Malta,3,2020-09-01,2021-04-01,2020-08-06
Malta,4,2021-05-01,2021-06-01,2021-04-20
Malta,1,2021-07-01,2021-07-01,2021-06-17
Malta,3,2021-08-01,2021-08-01,2021-07-27
Malta,4,2021-09-01,2021-09-01,2021-08-02
Malta,3,2021-10-01,2021-12-01,2021-09-07
Malta,4,2022-01-01,2022-04-01,2021-12-28
Malta,1,2022-05-01,,2022-04-19
Marshall Islands,1,2018-03-01,2020-08-01,2018-01-10
Marshall Islands,2,2020-09-01,2021-04-01,2020-08-17
Marshall Islands,3,2021-05-01,2021-08-01,2021-04-21
Marshall Islands,4,2021-09-01,2021-11-01,2021-08-02
Marshall Islands,3,2021-12-01,2023-05-01,2021-11-02
Marshall Islands,1,2023-06-01,,2023-05-23
Martinique (French West Indies),1,2025-09-01,,2024-08-22
Mauritania,3,2018-03-01,2019-12-01,2018-02-22
Mauritania,2,2020-01-01,2020-08-01,2019-12-26
Mauritania,3,2020-09-01,2021-03-01,2020-08-06
Mauritania,2,2021-04-01,2021-08-01,2021-03-22
Mauritania,3,2021-09-01,2021-10-01,2021-08-09
Mauritania,2,2021-11-01,2022-01-01,2021-10-12
Mauritania,3,2022-02-01,,2022-01-18
Mauritius,1,2018-03-01,2020-08-01,2018-01-18
Mauritius,2,2020-09-01,2020-10-01,2020-08-06
Mauritius,3,2020-11-01,2020-11-01,2020-10-26
Mauritius,2,2020-12-01,2021-03-01,2020-11-23
Mauritius,3,2021-04-01,2021-09-01,2021-03-16
Mauritius,4,2021-10-01,2021-10-01,2021-09-13
Mauritius,3,2021-11-01,2021-12-01,2021-10-25
Mauritius,4,2022-01-01,2022-02-01,2021-12-13
Mauritius,3,2022-03-01,2022-03-01,2022-02-14
Mauritius,4,2022-04-01,2022-04-01,2022-03-14
Mauritius,1,2022-05-01,2025-12-01,2022-04-18
Mauritius,2,2026-01-01,,2025-12-08
Mexico,2,2018-03-01,2020-08-01,2018-01-10
Mexico,4,2020-09-01,2020-09-01,2020-08-06
Mexico,3,2020-10-01,2021-04-01,2020-09-08
Mexico,4,2021-05-01,2021-06-01,2021-04-20
Mexico,3,2021-07-01,2022-01-01,2021-06-17
Mexico,4,2022-02-01,2022-03-01,2022-01-31
Mexico,3,2022-04-01,2022-04-01,2022-03-16
Mexico,2,2025-09-01,,2025-08-12
Micronesia,1,2018-03-01,2020-03-01,2018-01-10
Micronesia,3,2020-04-01,2020-08-01,2020-03-18
Micronesia,2,2020-09-01,2021-04-01,2020-08-24
Micronesia,3,2021-05-01,2023-05-01,2021-04-21
Micronesia,1,2023-06-01,2025-01-01,2023-05-08
Moldova,1,2018-03-01,2020-08-01,2018-01-10
Moldova,3,2020-09-01,2021-04-01,2020-08-06
Moldova,4,2021-05-01,2021-06-01,2021-04-20
Moldova,2,2021-07-01,2021-08-01,2021-06-17
Moldova,3,2021-09-01,2021-10-01,2021-08-30
Moldova,4,2021-11-01,2022-06-01,2021-10-12
Moldova,3,2022-07-01,2022-10-01,2022-06-21
Moldova,2,2022-11-01,,2022-10-28
Monaco,2,2025-09-01,,2025-05-28
Mongolia,1,2018-03-01,2020-02-01,2018-01-10
Mongolia,3,2020-03-01,2020-03-01,2020-02-26
Mongolia,4,2020-04-01,2020-09-01,2020-03-18
Mongolia,3,2020-10-01,2020-10-01,2020-09-14
Mongolia,2,2020-11-01,2020-12-01,2020-10-13
Mongolia,3,2021-01-01,2021-04-01,2020-12-14
Mongolia,4,2021-05-01,2022-04-01,2021-04-20
Mongolia,1,2022-05-01,,2022-04-21
Montenegro,1,2018-03-01,2020-08-01,2018-01-10
Montenegro,3,2020-09-01,2021-02-01,2020-08-06
Montenegro,4,2021-03-01,2021-06-01,2021-02-16
Montenegro,3,2021-07-01,2021-08-01,2021-06-17
Montenegro,4,2021-09-01,2022-04-01,2021-08-16
Montenegro,1,2022-05-01,,2022-04-19
Montserrat,1,2018-03-01,2020-08-01,2018-01-10
Montserrat,3,2020-09-01,2021-04-01,2020-08-31
Montserrat,2,2021-05-01,2021-07-01,2021-04-21
Montserrat,1,2021-08-01,2022-01-01,2021-07-07
Montserrat,2,2022-02-01,2022-04-01,2022-01-18
Montserrat,1,2022-05-01,,2022-04-19
Morocco,1,2018-03-01,2019-04-01,2018-01-10
Morocco,2,2019-05-01,2020-08-01,2019-04-02
Morocco,3,2020-09-01,2021-06-01,2020-08-06
Morocco,2,2021-07-01,2021-08-01,2021-06-28
Morocco,4,2021-09-01,2021-10-01,2021-08-23
Morocco,3,2021-11-01,2021-11-01,2021-10-04
Morocco,2,2021-12-01,2021-12-01,2021-11-15
Morocco,4,2022-01-01,2022-03-01,2021-12-01
Morocco,2,2022-04-01,,2022-03-21
Mozambique,1,2018-03-01,2020-05-01,2018-01-10
Mozambique,2,2020-06-01,2020-08-01,2020-05-22
Mozambique,3,2020-09-01,2021-04-01,2020-08-07
Mozambique,4,2021-05-01,2021-05-01,2021-04-20
Mozambique,3,2021-06-01,2021-06-01,2021-05-10
Mozambique,4,2021-07-01,2021-08-01,2021-06-28
Mozambique,3,2021-09-01,2021-11-01,2021-08-16
Mozambique,4,2021-12-01,2022-01-01,2021-11-27
Mozambique,3,2022-02-01,2022-03-01,2022-01-18
Mozambique,2,2022-04-01,2024-12-01,2022-03-21
Mozambique,3,2025-01-01,2025-06-01,2024-12-19
Mozambique,2,2025-07-01,,2025-06-16
Namibia,1,2018-03-01,2020-08-01,2018-01-10
Namibia,4,2020-09-01,2020-10-01,2020-08-06
Namibia,3,2020-11-01,2021-04-01,2020-10-13
Namibia,4,2021-05-01,2021-08-01,2021-04-20
Namibia,3,2021-09-01,2021-10-01,2021-08-30
Namibia,2,2021-11-01,2021-11-01,2021-10-25
